epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3497,2.03887,2.28534,1.11851,0.64073,0.33707,0.37703,0.21085,1.81476,1.84874,1.04249,0.000472697,0.000472697,0.000472697
2,53.6115,1.82715,1.40931,1.02916,0.51884,0.44115,0.40791,0.21886,1.86458,1.5564,1.04124,0.000939635,0.000939635,0.000939635
3,211.74,1.82589,1.24623,1.02342,0.49848,0.36028,0.39687,0.21095,1.90569,1.67005,1.06269,0.00139714,0.00139714,0.00139714
4,230.92,1.80576,1.19053,1.0156,0.52084,0.46674,0.43391,0.23908,1.7488,1.23033,1.00968,0.00138656,0.00138656,0.00138656
5,255.096,1.82123,1.1626,1.02153,0.51546,0.48729,0.44371,0.24341,1.67478,1.16141,0.97161,0.00137241,0.00137241,0.00137241
6,272.219,1.74175,1.07462,1.00558,0.55569,0.44788,0.43671,0.23522,1.75021,1.18932,1.0235,0.00135826,0.00135826,0.00135826
7,292.462,1.75005,1.04206,1.0047,0.56796,0.48005,0.44688,0.24535,1.71191,1.42495,1.00418,0.00134412,0.00134412,0.00134412
8,308.172,1.7336,1.01696,0.98824,0.53705,0.48162,0.4559,0.25584,1.68685,1.10043,0.99013,0.00132997,0.00132997,0.00132997
9,323.179,1.67316,0.9579,0.99313,0.52155,0.4765,0.44563,0.24476,1.71517,1.12228,0.97606,0.00131582,0.00131582,0.00131582
10,338.096,1.68322,0.95907,0.99526,0.55397,0.48576,0.46627,0.26217,1.71092,1.18035,1.02082,0.00130168,0.00130168,0.00130168
11,352.926,1.62885,0.93204,0.98007,0.56797,0.47874,0.47875,0.25924,1.66396,1.14965,1.002,0.00128753,0.00128753,0.00128753
12,368.251,1.67511,0.93748,0.97979,0.53224,0.4878,0.45757,0.25092,1.63502,1.18415,1.00272,0.00127338,0.00127338,0.00127338
13,387.642,1.67951,0.92962,0.9803,0.52613,0.5116,0.47182,0.25642,1.69894,1.10269,0.98978,0.00125923,0.00125923,0.00125923
14,406.505,1.64699,0.91279,0.97813,0.52738,0.49775,0.47186,0.26867,1.60385,0.95153,0.96541,0.00124509,0.00124509,0.00124509
15,424.235,1.61636,0.88427,0.97199,0.55439,0.52749,0.49674,0.27,1.61967,1.02375,0.98014,0.00123094,0.00123094,0.00123094
16,442.198,1.61314,0.88495,0.97415,0.57505,0.51574,0.50551,0.27255,1.71996,1.08574,1.02046,0.00121679,0.00121679,0.00121679
