epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8676,2.06706,2.29119,1.16013,0.52996,0.32421,0.35605,0.20262,1.74549,1.76486,0.99609,0.000472697,0.000472697,0.000472697
2,37.5266,1.85764,1.38956,1.03638,0.48223,0.41537,0.3886,0.20666,1.83519,1.25848,1.03067,0.000939635,0.000939635,0.000939635
3,74.2982,1.84906,1.24809,1.02627,0.43508,0.41409,0.4078,0.21484,1.67746,1.15402,0.9769,0.00139714,0.00139714,0.00139714
4,95.0496,1.82059,1.16403,1.01305,0.52373,0.45262,0.4337,0.2312,1.70525,1.07643,0.9744,0.00138656,0.00138656,0.00138656
5,111.735,1.83955,1.15355,1.02443,0.48791,0.46437,0.4232,0.23547,1.76728,1.2621,1.00724,0.00137241,0.00137241,0.00137241
6,129.341,1.75161,1.0641,1.00192,0.49723,0.44231,0.42026,0.23058,1.98656,1.24684,1.07251,0.00135826,0.00135826,0.00135826
7,151.456,1.75108,1.03259,0.99907,0.53205,0.47014,0.44388,0.24083,1.72909,1.43555,1.02563,0.00134412,0.00134412,0.00134412
8,168.441,1.74751,1.01508,0.98717,0.56069,0.49709,0.48014,0.26007,1.71468,1.13693,0.99582,0.00132997,0.00132997,0.00132997
9,188.118,1.688,0.97305,0.99045,0.48108,0.47398,0.42746,0.24322,1.77775,1.08943,1.00192,0.00131582,0.00131582,0.00131582
10,204.132,1.68881,0.96582,0.98946,0.5485,0.51343,0.47647,0.2639,1.63106,1.29833,1.00007,0.00130168,0.00130168,0.00130168
11,219.768,1.66143,0.94377,0.9838,0.53563,0.4924,0.46749,0.25741,1.74122,1.1841,1.01948,0.00128753,0.00128753,0.00128753
12,235.865,1.70833,0.94898,0.9836,0.5292,0.48947,0.47644,0.26201,1.63252,1.19124,0.98554,0.00127338,0.00127338,0.00127338
13,255.479,1.68346,0.93522,0.97425,0.53849,0.49506,0.46453,0.25221,1.63218,1.04293,0.97742,0.00125923,0.00125923,0.00125923
14,276.721,1.66628,0.92755,0.97613,0.51279,0.49877,0.45912,0.25496,1.73932,1.1308,1.03162,0.00124509,0.00124509,0.00124509
15,297.934,1.63675,0.90096,0.97186,0.55411,0.53452,0.4967,0.27226,1.70197,1.13618,1.01737,0.00123094,0.00123094,0.00123094
16,320.67,1.62107,0.89018,0.96969,0.52164,0.49461,0.4789,0.25458,1.57413,1.21527,1.00992,0.00121679,0.00121679,0.00121679
17,366.435,1.61522,0.87412,0.96829,0.56351,0.50634,0.48139,0.26293,1.65704,1.04873,0.9836,0.00120265,0.00120265,0.00120265
18,392.745,1.6259,0.87617,0.96558,0.5393,0.53075,0.49843,0.27164,1.68008,1.21097,1.02001,0.0011885,0.0011885,0.0011885
19,411.557,1.64664,0.89329,0.96547,0.58179,0.51616,0.49479,0.27029,1.62958,1.1133,1.00705,0.00117435,0.00117435,0.00117435
20,437.253,1.61841,0.87269,0.96813,0.57645,0.52613,0.50614,0.2747,1.58273,1.08166,0.96281,0.00116021,0.00116021,0.00116021
21,457.52,1.6096,0.86942,0.96219,0.57313,0.52383,0.50161,0.27211,1.67107,1.05215,0.99211,0.00114606,0.00114606,0.00114606
22,475.969,1.60796,0.85945,0.9602,0.54908,0.52261,0.49807,0.27524,1.62125,1.07157,0.9642,0.00113191,0.00113191,0.00113191
23,493.854,1.61251,0.87292,0.96457,0.53984,0.55233,0.4889,0.27174,1.63114,1.092,1.00893,0.00111776,0.00111776,0.00111776
24,509.585,1.59539,0.847,0.96043,0.54136,0.54776,0.50149,0.2735,1.68362,1.10356,1.02798,0.00110362,0.00110362,0.00110362
25,534.455,1.59279,0.85527,0.95792,0.50787,0.51953,0.4785,0.26537,1.70629,1.13049,1.03812,0.00108947,0.00108947,0.00108947
26,553.839,1.58074,0.83702,0.96382,0.56763,0.53894,0.501,0.2793,1.63963,1.04216,1.00345,0.00107532,0.00107532,0.00107532
27,586.586,1.56967,0.83236,0.96032,0.56567,0.52876,0.50897,0.27971,1.69164,1.08145,1.0115,0.00106118,0.00106118,0.00106118
28,603.004,1.59844,0.84004,0.95866,0.5623,0.53805,0.5064,0.27972,1.63563,1.00199,1.00411,0.00104703,0.00104703,0.00104703
29,625.237,1.57337,0.82581,0.94759,0.58244,0.5447,0.52198,0.29211,1.66288,1.00683,1.00907,0.00103288,0.00103288,0.00103288
30,658.54,1.58614,0.83558,0.9488,0.57566,0.54392,0.51968,0.28816,1.71974,1.08801,1.00827,0.00101873,0.00101873,0.00101873
31,674.82,1.57511,0.83186,0.95691,0.58288,0.51759,0.50963,0.2819,1.58544,1.01773,0.96509,0.00100459,0.00100459,0.00100459
32,693.135,1.5576,0.81892,0.95389,0.56718,0.54807,0.51638,0.2855,1.67872,0.99726,1.02806,0.00099044,0.00099044,0.00099044
33,709.333,1.54687,0.8153,0.94595,0.55561,0.53542,0.50663,0.27393,1.66774,1.04663,0.98988,0.000976293,0.000976293,0.000976293
