epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1674,2.01858,2.18868,1.14472,0.48754,0.33684,0.35835,0.20032,1.73946,1.89248,1.00635,0.000472697,0.000472697,0.000472697
2,136.841,1.8249,1.3443,1.03153,0.48038,0.43126,0.40546,0.22302,1.79906,1.29509,1.02494,0.000939635,0.000939635,0.000939635
3,160.883,1.81145,1.19436,1.0262,0.442,0.41224,0.42118,0.22037,1.76333,1.21582,1.01257,0.00139714,0.00139714,0.00139714
4,182.406,1.81181,1.12874,1.02704,0.5092,0.46527,0.42456,0.2356,1.74788,1.35213,1.0159,0.00138656,0.00138656,0.00138656
5,201.494,1.81045,1.12908,1.02279,0.53327,0.45077,0.43235,0.24108,1.81158,1.32667,1.0501,0.00137241,0.00137241,0.00137241
6,222.269,1.71986,1.04096,1.0038,0.49156,0.44146,0.42597,0.22633,1.89025,1.32981,1.05348,0.00135826,0.00135826,0.00135826
7,254.53,1.73095,1.01409,1.0032,0.58877,0.44474,0.43678,0.23951,1.72984,1.44247,1.00397,0.00134412,0.00134412,0.00134412
8,272.779,1.73066,1.00498,0.99054,0.5405,0.47983,0.45238,0.25821,1.69795,1.10114,1.00452,0.00132997,0.00132997,0.00132997
9,289.58,1.65489,0.94671,0.99187,0.5423,0.49592,0.45488,0.25564,1.66489,1.07827,0.99012,0.00131582,0.00131582,0.00131582
10,305.274,1.66581,0.94245,0.99293,0.57304,0.50588,0.47763,0.26383,1.72134,1.0181,0.98442,0.00130168,0.00130168,0.00130168
11,320.876,1.63412,0.91667,0.9874,0.53943,0.50999,0.46904,0.25942,1.65486,1.06846,0.99869,0.00128753,0.00128753,0.00128753
12,337.135,1.68186,0.93077,0.98647,0.46584,0.49973,0.47271,0.25944,1.74727,1.27015,1.0181,0.00127338,0.00127338,0.00127338
13,356.711,1.6713,0.91855,0.98284,0.5498,0.50586,0.47989,0.25589,1.73006,1.05978,1.00412,0.00125923,0.00125923,0.00125923
14,377.833,1.63688,0.89697,0.97973,0.53687,0.51008,0.47128,0.26138,1.73196,1.03225,1.02141,0.00124509,0.00124509,0.00124509
15,399.192,1.60654,0.87495,0.97155,0.58419,0.51379,0.49277,0.26994,1.67277,1.07687,0.98827,0.00123094,0.00123094,0.00123094
16,422.626,1.59973,0.86616,0.97387,0.5546,0.52703,0.50125,0.27197,1.62942,1.08386,0.98483,0.00121679,0.00121679,0.00121679
17,448.148,1.59181,0.85521,0.97248,0.56286,0.52634,0.49437,0.27483,1.69235,1.12116,1.01391,0.00120265,0.00120265,0.00120265
18,464.567,1.5979,0.85704,0.96889,0.49255,0.48415,0.48192,0.26397,1.73011,1.13429,1.01188,0.0011885,0.0011885,0.0011885
19,482.335,1.62128,0.86741,0.96841,0.56796,0.50644,0.49183,0.27387,1.62835,1.05876,0.98841,0.00117435,0.00117435,0.00117435
20,506.863,1.58578,0.84889,0.97011,0.57226,0.52712,0.50731,0.28288,1.66665,1.09284,0.99409,0.00116021,0.00116021,0.00116021
21,610.046,1.58781,0.8454,0.96669,0.55122,0.54012,0.50414,0.27342,1.62539,1.02693,1.0097,0.00114606,0.00114606,0.00114606
22,630.1,1.58158,0.8388,0.96362,0.56922,0.53841,0.49765,0.28061,1.74039,1.02777,1.03838,0.00113191,0.00113191,0.00113191
23,646.489,1.57934,0.83962,0.96455,0.57909,0.53088,0.50035,0.27511,1.60309,1.01916,0.97072,0.00111776,0.00111776,0.00111776
24,662.315,1.56464,0.81254,0.96259,0.58211,0.52512,0.51578,0.27975,1.64814,1.01043,0.98884,0.00110362,0.00110362,0.00110362
25,682.963,1.56206,0.82835,0.96137,0.57339,0.49869,0.4939,0.27511,1.69808,1.03637,1.00215,0.00108947,0.00108947,0.00108947
26,700.126,1.54571,0.80649,0.96572,0.60115,0.5561,0.52614,0.28714,1.52889,0.99062,0.95099,0.00107532,0.00107532,0.00107532
27,720.275,1.55137,0.81761,0.96744,0.56507,0.50549,0.49051,0.27628,1.5803,1.01471,0.97372,0.00106118,0.00106118,0.00106118
28,736.778,1.56225,0.81276,0.96023,0.59757,0.55303,0.52985,0.29322,1.58764,0.96206,0.96833,0.00104703,0.00104703,0.00104703
